listingPrice,listingType,marketStatus,conservationStatus,energyEfficiencyLevel,constructionYear,localZone,garage,garageSpots,floorAsNumber,elevator,totalRooms,numberOfBedrooms,numberOfBathrooms,totalArea,livingArea
1190000.0,Moradia,Novo para o Mercado,Bom estado,B-,1997.0,Carnaxide,False,2,,,6.0,4.0,4.0,263.0,242.0
330000.0,Apartamento,Novo para o Mercado,,C,1988.0,Oeiras,False,0,0.0,False,,2.0,1.0,79.0,79.0
330000.0,Apartamento,Novo para o Mercado,,D,1983.0,Paço De Arcos,False,0,1.0,True,3.0,2.0,1.0,77.0,77.0
120000.0,Apartamento,Novo para o Mercado,,C,1971.0,Algés,False,0,0.0,False,,0.0,1.0,25.0,20.0
685000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,2,2.0,True,,3.0,3.0,124.0,108.0
475000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,1,2.0,True,,2.0,2.0,91.0,72.0
1265000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,3,4.0,True,,4.0,4.0,179.0,142.0
1350000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,3,4.0,True,,4.0,4.0,267.0,165.0
475000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,1,3.0,True,,2.0,2.0,81.0,72.0
715000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,2,3.0,True,,3.0,3.0,136.0,120.0
705000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,2,3.0,True,,3.0,3.0,124.0,108.0
700000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,2,3.0,True,,3.0,3.0,126.0,115.0
710000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,2,3.0,True,,3.0,3.0,134.0,107.0
675000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,2,3.0,True,,3.0,3.0,114.0,102.0
1500000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,3,3.0,True,,4.0,4.0,262.0,170.0
470000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,1,2.0,True,,2.0,2.0,82.0,72.0
695000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,2,2.0,True,,3.0,3.0,136.0,120.0
680000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,2,2.0,True,,3.0,3.0,126.0,115.0
690000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,2,2.0,True,,3.0,3.0,134.0,107.0
660000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,2,2.0,True,,3.0,3.0,114.0,102.0
